Brand,Model,Year,Attrebutes,Miles(k miles),Registration,Control,Fuel,Location,Price(£)
Mitsubishi,Outlander,2009.0,(09) - 2.0 DI-DC Warrior 4WD Euro 4 5dr,120,2009 (9 reg),Manual,Diesel,"Bradford, Clayton ",2795
Peugeot,107,2011.0,(61) - 1.0 12V Urban Euro 5 5dr,50,2011 (61 reg),Manual,Petrol,Sheffield ,2495
Kia,Venga,2011.0,(11) - 1.4 3 Euro 5 5dr,89,2011 (11 reg),Manual,Petrol,Sheffield ,2495
SEAT,Leon,2008.0,(55) - 2.0 16V TDI FR 5dr,125,2008 (8 reg),Manual,Diesel,Bradford ,1500
BMW,3 Series,2013.0,(13) - 2.0 320d M Sport Touring Auto xDrive Euro 5 (s/s) 5dr,116,2013 (13 reg),Auto,Diesel,Shipley ,8695
MINI,Countryman,2011.0,(61) - 1.6 One Euro 5 (s/s) 5dr,75,2011 (61 reg),Manual,Petrol,Sheffield ,4495
BMW,M3,1999.0,(H) - E30 M3 2.5 Sport Evolution 2-Door,148,1990 (G),Manual,Petrol,Keighley ,125000
SEAT,Leon,2015.0,- TDI SE TECHNOLOGY 5-Door,109,2015 (64 reg),Manual,Diesel,Rotherham ,4490
Mercedes-Benz,G-Class,2021.0,(71) - 4.0 G63 V8 BiTurbo AMG SpdS+9GT 4MATIC Euro 6 (s/s) 5dr,30,2021 (71 reg),Auto,Petrol,Boroughbridge ,139988
Lamborghini,Urus,2023.0,(23) - 4.0T FSI V8 S 5dr Auto,16,2023 (23 reg),Auto,Petrol,Bradford ,233988
Citroen,C1,2010.0,(60) - 1.0i VT 3dr,70,2010 (60 reg),Manual,Petrol,Sheffield ,1695
Volkswagen,Beetle,2014.0,(14) - 2.0 TDI Sport Euro 5 3dr,94,2014 (14 reg),Manual,Diesel,Rochdale ,6297
Chevrolet,Trax,2014.0,(63) - 1.7 VCDi LT 5dr,151,2014 (63 reg),Manual,Diesel,Cleckheaton ,1690
Renault,Modus,2007.0,(57) - 1.4 16v Dynamique 5dr,46,2007 (57 reg),Manual,Petrol,Sheffield ,2200
Volkswagen,Tiguan,2013.0,(13) - 2.0 TSi SE 180 5dr DSG,136,2013 (13 reg),Auto,Petrol,Pudsey ,5495
Nissan,Micra,2007.0,(57) - 1.2 16v Spirita 5dr,121,2007 (57 reg),Auto,Petrol,Sheffield ,1489
Ford,Kuga,2018.0,(68) - 1.5 TDCi Titanium Euro 6 (s/s) 5dr,104,2018 (68 reg),Manual,Diesel,Rotherham ,6990
Mitsubishi,L200,2012.0,(12) - 2.5 DI-D Barbarian Black Pickup Double Cab 4dr Diesel Manual 4WD Euro 5 (LB,105,2012 (12 reg),Manual,Diesel,Bradford ,8950
Vauxhall,Astra,2011.0,(61) - 2.0 CDTi Elite Hatchback 5dr Diesel Auto Euro 5 (165 ps),130,2011 (61 reg),Auto,Diesel,Rochdale ,2495
Honda,CR-V,2008.0,(08) - 2.2 i-CTDi EX 5dr,160,2008 (8 reg),Manual,Diesel,Goole ,1595
Land Rover,Freelander 2,2011.0,(11) - 2.2 TD4 GS SUV 5dr Diesel Manual 4WD Euro 5 (s/s) (150 ps),150,2011 (11 reg),Manual,Diesel,"Huddersfield, ",3295
Kia,Soul,2013.0,(13) - 1.6 CRDi Quantum 5dr,86,2013 (13 reg),Manual,Diesel,Keighley ,3995
Morgan,Aero,2017.0,(67) - 4.8 2dr,827,2017 (67 reg),Manual,Petrol,Harrogate ,109990
Bentley,Continental,2020.0,(69) - 4.0 V8 GT Auto 4WD Euro 6 (s/s) 2dr,18,2020 (69 reg),Auto,Petrol,Boroughbridge ,119949
Ford,Fiesta,2010.0,(10) - 1.4 TDCi Titanium 5dr,157,2010 (10 reg),Manual,Diesel,Mexborough ,2295
Land Rover,Range Rover,2020.0,(70) - 5.0 V8 S/C GPF (525 PS) AUTOBIOGRAPHY AUTO 4WD ( EURO 6 ) S/S LWB SUV + COL 5-Door,44,2020 (70 reg),Auto,Petrol,Bradford ,74990
Nissan,Note,2014.0,(14) - 1.5 dCi Acenta Premium Hatchback 5dr Diesel Manual Euro 5 (s/s) (90 ps),85,2014 (14 reg),Manual,Diesel,DUKINFIELD ,3795
Ford,Ranger,2023.0,- 2.0 EcoBlue Raptor Pickup Double Cab 4dr Diesel Auto 4WD Euro 6 (s/s) (210,25,2023 (23 reg),Auto,Diesel,Sheffield ,41980
Kia,Optima,2012.0,(62) - 1.7 CRDi EcoDynamics 2 Luxe Euro 5 (s/s) 4dr,81,2012 (62 reg),Manual,Diesel,Cleckheaton ,3995
SEAT,Leon,2011.0,(11) - 1.2 TSI SE Copa Euro 5 (s/s) 5dr,86,2011 (11 reg),Manual,Petrol,Cleckheaton ,2495
Volkswagen,California,2022.0,(22) - 2.0 Bi-TDI Ocean 204 PS DSG - Pop Up Roof & Full Kitchen 4-Door,29,2022 (22 reg),Auto,Diesel,Sheffield ,59990
Ferrari,488,2017.0,(67) - 3.9T V8 GTB F1 DCT Euro 6 (s/s) 2dr,8,2017 (67 reg),Auto,Petrol,Boroughbridge ,157995
Land Rover,Range Rover,2022.0,(72) - 3.0 D350 Autobiography 4dr Auto,33,2022 (72 reg),Auto,Diesel,Bradford ,84990
Audi,TT,2013.0,(63) - 2.0 TDI Sport quattro Euro 5 3dr,100,2013 (63 reg),Manual,Diesel,Sheffield ,5490
Ford,Kuga,2016.0,(16) - 2.0 TDCi 150 TITANIUM X 5dr 2WD + LEATHER + PAN ROOF + WIDESCREEN NAV +,112,2016 (16 reg),Manual,Diesel,Leeds ,6490
Nissan,Micra,2013.0,(63) - 1.2 Visia Hatchback 5dr Petrol Manual Euro 5 (80 ps) ++£35 ROAD TAX++,60,2013 (63 reg),Manual,Petrol,Stalybridge ,3485
Ford,Focus,2013.0,(13) - 1.6 TDCi Zetec S Euro 5 (s/s) 5dr,72,2013 (13 reg),Manual,Diesel,Cleckheaton ,4795
Mercedes-Benz,S-Class,2012.0,(62) - 6.2 63 V8 AMG Roadster SpdS DCT Euro 5 2dr,28,2012 (62 reg),Auto,Petrol,Keighley ,104989
Aston Martin,Rapide,2019.0,(69) - 6.0 V12 AMR T-TronIII Euro 6 4dr,15,2019 (69 reg),Auto,Petrol,Boroughbridge ,109995
Nissan,GT-R,2011.0,(11) - 3.8 [530] 2dr Auto,75,2011 (11 reg),Auto,Petrol,Rotherham ,45000
Land Rover,Discovery 3,2007.0,"(55) - 2.7 TD V6 XS SUV 5dr Diesel Manual (244 g/km, 190 bhp)",143,2007 (57 reg),Manual,Diesel,Rochdale ,5995
Citroen,C3,2006.0,(06) - 1.6i 16V SX 5dr,112,2006 (6 reg),Auto,Petrol,Rotherham ,1990
Porsche,911,2017.0,(24) - 3.0T 992 Carrera 4 GTS PDK 4WD Euro 6 (s/s) 2dr,7,2017 (66 reg),Auto,Petrol,Boroughbridge ,124995
Renault,Clio,2006.0,(06) - 1.2 Campus 3dr,75,2006 (6 reg),Manual,Petrol,Sheffield ,1295
Citroen,C1,2014.0,(64) - 1.0 VTi Flair Euro 5 5dr,36,2014 (64 reg),Manual,Petrol,Sheffield ,4995
Renault,Clio,2012.0,(62) - 2.0 16V RenaultSport 200 3dr,66,2012 (62 reg),Manual,Petrol,Leeds ,7995
Toyota,Land Cruiser,2014.0,(63) - 4.5 D-4D V8 5dr Auto,138,2014 (63 reg),Auto,Diesel,Dalton Magna ,34995
