Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull
Mitsubishi,Outlander,2009.0,120,2009 (9 reg),Manual,Diesel,"Bradford, Clayton ",2795,2.0,5,Euro 4,DI-DC Warrior 4WD
Peugeot,107,2011.0,50,2011 (61 reg),Manual,Petrol,Sheffield ,2495,1.0,5,Euro 5,12V Urban
Kia,Venga,2011.0,89,2011 (11 reg),Manual,Petrol,Sheffield ,2495,1.4,5,Euro 5,3
SEAT,Leon,2008.0,125,2008 (8 reg),Manual,Diesel,Bradford ,1500,2.0,5,,16V TDI FR
BMW,3 Series,2013.0,116,2013 (13 reg),Auto,Diesel,Shipley ,8695,2.0,5,Euro 5 (s/s),320d M Sport Touring Auto xDrive
MINI,Countryman,2011.0,75,2011 (61 reg),Manual,Petrol,Sheffield ,4495,1.6,5,Euro 5 (s/s),One
BMW,M3,1999.0,148,1990 (G),Manual,Petrol,Keighley ,125000,2.5,2,,(H) - E30 M3 Sport Evolution
SEAT,Leon,2015.0,109,2015 (64 reg),Manual,Diesel,Rotherham ,4490,,5,,- TDI SE TECHNOLOGY
Mercedes-Benz,G-Class,2021.0,30,2021 (71 reg),Auto,Petrol,Boroughbridge ,139988,4.0,5,Euro 6 (s/s),G63 V8 BiTurbo AMG SpdS+9GT 4MATIC
Lamborghini,Urus,2023.0,16,2023 (23 reg),Auto,Petrol,Bradford ,233988,4.0,5,,FSI V8 S Auto
Citroen,C1,2010.0,70,2010 (60 reg),Manual,Petrol,Sheffield ,1695,1.0,3,,i VT
Volkswagen,Beetle,2014.0,94,2014 (14 reg),Manual,Diesel,Rochdale ,6297,2.0,3,Euro 5,TDI Sport
Chevrolet,Trax,2014.0,151,2014 (63 reg),Manual,Diesel,Cleckheaton ,1690,1.7,5,,VCDi LT
Renault,Modus,2007.0,46,2007 (57 reg),Manual,Petrol,Sheffield ,2200,1.4,5,,16v Dynamique
Volkswagen,Tiguan,2013.0,136,2013 (13 reg),Auto,Petrol,Pudsey ,5495,2.0,5,,TSi SE 180 DSG
Nissan,Micra,2007.0,121,2007 (57 reg),Auto,Petrol,Sheffield ,1489,1.2,5,,16v Spirita
Ford,Kuga,2018.0,104,2018 (68 reg),Manual,Diesel,Rotherham ,6990,1.5,5,Euro 6 (s/s),TDCi Titanium
Mitsubishi,L200,2012.0,105,2012 (12 reg),Manual,Diesel,Bradford ,8950,2.5,4,Euro 5,DI-D Barbarian Black Pickup Double Cab Diesel Manual 4WD (LB
Vauxhall,Astra,2011.0,130,2011 (61 reg),Auto,Diesel,Rochdale ,2495,2.0,5,Euro 5,CDTi Elite Hatchback Diesel Auto (165 ps)
Honda,CR-V,2008.0,160,2008 (8 reg),Manual,Diesel,Goole ,1595,2.2,5,,i-CTDi EX
Land Rover,Freelander 2,2011.0,150,2011 (11 reg),Manual,Diesel,"Huddersfield, ",3295,2.2,5,Euro 5 (s/s),TD4 GS SUV Diesel Manual 4WD (150 ps)
Kia,Soul,2013.0,86,2013 (13 reg),Manual,Diesel,Keighley ,3995,1.6,5,,CRDi Quantum
Morgan,Aero,2017.0,827,2017 (67 reg),Manual,Petrol,Harrogate ,109990,4.8,2,,
Bentley,Continental,2020.0,18,2020 (69 reg),Auto,Petrol,Boroughbridge ,119949,4.0,2,Euro 6 (s/s),V8 GT Auto 4WD
Ford,Fiesta,2010.0,157,2010 (10 reg),Manual,Diesel,Mexborough ,2295,1.4,5,,TDCi Titanium
Land Rover,Range Rover,2020.0,44,2020 (70 reg),Auto,Petrol,Bradford ,74990,5.0,5,EURO 6,V8 S/C GPF (525 PS) AUTOBIOGRAPHY AUTO 4WD ( ) S/S LWB SUV + COL
Nissan,Note,2014.0,85,2014 (14 reg),Manual,Diesel,DUKINFIELD ,3795,1.5,5,Euro 5 (s/s),dCi Acenta Premium Hatchback Diesel Manual (90 ps)
Ford,Ranger,2023.0,25,2023 (23 reg),Auto,Diesel,Sheffield ,41980,2.0,4,Euro 6 (s/s),- EcoBlue Raptor Pickup Double Cab Diesel Auto 4WD (210
Kia,Optima,2012.0,81,2012 (62 reg),Manual,Diesel,Cleckheaton ,3995,1.7,4,Euro 5 (s/s),CRDi EcoDynamics 2 Luxe
SEAT,Leon,2011.0,86,2011 (11 reg),Manual,Petrol,Cleckheaton ,2495,1.2,5,Euro 5 (s/s),TSI SE Copa
Volkswagen,California,2022.0,29,2022 (22 reg),Auto,Diesel,Sheffield ,59990,2.0,4,,Bi-TDI Ocean 204 PS DSG - Pop Up Roof & Full Kitchen
Ferrari,488,2017.0,8,2017 (67 reg),Auto,Petrol,Boroughbridge ,157995,3.9,2,Euro 6 (s/s),V8 GTB F1 DCT
Land Rover,Range Rover,2022.0,33,2022 (72 reg),Auto,Diesel,Bradford ,84990,3.0,4,,D350 Autobiography Auto
Audi,TT,2013.0,100,2013 (63 reg),Manual,Diesel,Sheffield ,5490,2.0,3,Euro 5,TDI Sport quattro
Ford,Kuga,2016.0,112,2016 (16 reg),Manual,Diesel,Leeds ,6490,2.0,5,,TDCi 150 TITANIUM X 2WD + LEATHER + PAN ROOF + WIDESCREEN NAV +
Nissan,Micra,2013.0,60,2013 (63 reg),Manual,Petrol,Stalybridge ,3485,1.2,5,Euro 5,Visia Hatchback Petrol Manual (80 ps) ++£35 ROAD TAX++
Ford,Focus,2013.0,72,2013 (13 reg),Manual,Diesel,Cleckheaton ,4795,1.6,5,Euro 5 (s/s),TDCi Zetec S
Mercedes-Benz,S-Class,2012.0,28,2012 (62 reg),Auto,Petrol,Keighley ,104989,6.2,2,Euro 5,63 V8 AMG Roadster SpdS DCT
Aston Martin,Rapide,2019.0,15,2019 (69 reg),Auto,Petrol,Boroughbridge ,109995,6.0,4,Euro 6,V12 AMR T-TronIII
Nissan,GT-R,2011.0,75,2011 (11 reg),Auto,Petrol,Rotherham ,45000,3.8,2,,[530] Auto
Land Rover,Discovery 3,2007.0,143,2007 (57 reg),Manual,Diesel,Rochdale ,5995,2.7,5,,"TD V6 XS SUV Diesel Manual (244 g/km, 190 bhp)"
Citroen,C3,2006.0,112,2006 (6 reg),Auto,Petrol,Rotherham ,1990,1.6,5,,i 16V SX
Porsche,911,2017.0,7,2017 (66 reg),Auto,Petrol,Boroughbridge ,124995,3.0,2,Euro 6 (s/s),992 Carrera 4 GTS PDK 4WD
Renault,Clio,2006.0,75,2006 (6 reg),Manual,Petrol,Sheffield ,1295,1.2,3,,Campus
Citroen,C1,2014.0,36,2014 (64 reg),Manual,Petrol,Sheffield ,4995,1.0,5,Euro 5,VTi Flair
Renault,Clio,2012.0,66,2012 (62 reg),Manual,Petrol,Leeds ,7995,2.0,3,,16V RenaultSport 200
