Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull,logPrice
Mitsubishi,Outlander,2009,120,2009 (9 reg),Manual,Diesel,"Bradford, Clayton ",2795,2.0,5,Euro 4,DI-DC Warrior 4WD,7.935945103353701
Peugeot,107,2011,50,2011 (61 reg),Manual,Petrol,Sheffield ,2495,1.0,5,Euro 5,12V Urban,7.822444729489319
Kia,Venga,2011,89,2011 (11 reg),Manual,Petrol,Sheffield ,2495,1.4,5,Euro 5,3,7.822444729489319
SEAT,Leon,2008,125,2008 (8 reg),Manual,Diesel,Bradford ,1500,2.0,5,Unknown,16V TDI FR,7.313886831633462
BMW,3 Series,2013,116,2013 (13 reg),Auto,Diesel,Shipley ,8695,2.0,5,Euro 5 (s/s),320d M Sport Touring Auto xDrive,9.070618428801046
MINI,Countryman,2011,75,2011 (61 reg),Manual,Petrol,Sheffield ,4495,1.6,5,Euro 5 (s/s),One,8.410943391573527
BMW,M3,1999,148,1990 (G),Manual,Petrol,Keighley ,125000,2.5,2,Unknown,(H) - E30 M3 Sport Evolution,11.736077016252437
SEAT,Leon,2015,109,2015 (64 reg),Manual,Diesel,Rotherham ,4490,1.6,5,Unknown,- TDI SE TECHNOLOGY,8.409830673087738
Mercedes-Benz,G-Class,2021,30,2021 (71 reg),Auto,Petrol,Boroughbridge ,139988,4.0,5,Euro 6 (s/s),G63 V8 BiTurbo AMG SpdS+9GT 4MATIC,11.849319127075974
Lamborghini,Urus,2023,16,2023 (23 reg),Auto,Petrol,Bradford ,233988,4.0,5,Unknown,FSI V8 S Auto,12.363029384687893
Citroen,C1,2010,70,2010 (60 reg),Manual,Petrol,Sheffield ,1695,1.0,3,Unknown,i VT,7.4360278163518485
Volkswagen,Beetle,2014,94,2014 (14 reg),Manual,Diesel,Rochdale ,6297,2.0,3,Euro 5,TDI Sport,8.74798740166097
Chevrolet,Trax,2014,151,2014 (63 reg),Manual,Diesel,Cleckheaton ,1690,1.7,5,Unknown,VCDi LT,7.43307534889858
Renault,Modus,2007,46,2007 (57 reg),Manual,Petrol,Sheffield ,2200,1.4,5,Unknown,16v Dynamique,7.696667081526462
Volkswagen,Tiguan,2013,136,2013 (13 reg),Auto,Petrol,Pudsey ,5495,2.0,5,Unknown,TSi SE 180 DSG,8.611775833902186
Nissan,Micra,2007,121,2007 (57 reg),Auto,Petrol,Sheffield ,1489,1.2,5,Unknown,16v Spirita,7.306531398939505
Ford,Kuga,2018,104,2018 (68 reg),Manual,Diesel,Rotherham ,6990,1.5,5,Euro 6 (s/s),TDCi Titanium,8.852378886511985
Mitsubishi,L200,2012,105,2012 (12 reg),Manual,Diesel,Bradford ,8950,2.5,4,Euro 5,DI-D Barbarian Black Pickup Double Cab Diesel Manual 4WD (LB,9.099520536870939
Vauxhall,Astra,2011,130,2011 (61 reg),Auto,Diesel,Rochdale ,2495,2.0,5,Euro 5,CDTi Elite Hatchback Diesel Auto (165 ps),7.822444729489319
Honda,CR-V,2008,160,2008 (8 reg),Manual,Diesel,Goole ,1595,2.2,5,Unknown,i-CTDi EX,7.3752557780097545
Land Rover,Freelander 2,2011,150,2011 (11 reg),Manual,Diesel,"Huddersfield, ",3295,2.2,5,Euro 5 (s/s),TD4 GS SUV Diesel Manual 4WD (150 ps),8.100464891029363
Kia,Soul,2013,86,2013 (13 reg),Manual,Diesel,Keighley ,3995,1.6,5,Unknown,CRDi Quantum,8.293049139768444
Bentley,Continental,2020,18,2020 (69 reg),Auto,Petrol,Boroughbridge ,119949,4.0,2,Euro 6 (s/s),V8 GT Auto 4WD,11.694830268267841
Ford,Fiesta,2010,157,2010 (10 reg),Manual,Diesel,Mexborough ,2295,1.4,5,Unknown,TDCi Titanium,7.738923757439457
Land Rover,Range Rover,2020,44,2020 (70 reg),Auto,Petrol,Bradford ,74990,5.0,5,EURO 6,V8 S/C GPF (525 PS) AUTOBIOGRAPHY AUTO 4WD ( ) S/S LWB SUV + COL,11.225123385317872
Nissan,Note,2014,85,2014 (14 reg),Manual,Diesel,DUKINFIELD ,3795,1.5,5,Euro 5 (s/s),dCi Acenta Premium Hatchback Diesel Manual (90 ps),8.241703159729818
Ford,Ranger,2023,25,2023 (23 reg),Auto,Diesel,Sheffield ,41980,2.0,4,Euro 6 (s/s),- EcoBlue Raptor Pickup Double Cab Diesel Auto 4WD (210,10.64497241395799
